"대학명	",총장,유형,설립주체,소재,홈페이지
강동대,서석해,전문대,사립,음성,https://www.gangdong.ac.kr/intro.jsp
건국대(글로컬),문상호,대학,사립,충주,https://www.kku.ac.kr/mbshome/mbs/wwwkr/index.do
극동대,류기일,대학,사립,음성,https://www.kdu.ac.kr/home/intro.do
"꽃동네대	",이종서,대학,사립,청주,http://www.kkot.ac.kr/
"대원대	",김영철,전문대,사립,제천,https://www.daewon.ac.kr/mbs/daewon/
"서원대	",손석민,대학,사립,청주,https://www.seowon.ac.kr/sites/seowon/index.do
"세명대	",권동현,대학,사립,제천,http://www.semyung.ac.kr/kor.do
유원대,채훈관,대학,사립,영동,https://www.u1.ac.kr/html/intro/intro.html
"중원대	",황윤원,대학,사립,괴산,http://www.jwu.ac.kr/site/siteView.jwu
"청주교대	",이혁규,대학,국립,청주,https://www.cje.ac.kr/group/main
"청주대	",김윤배,대학,사립,청주,https://www.cju.ac.kr/www/index.do
"충북대	",고창섭,대학,국립,청주,https://www.chungbuk.ac.kr/site/www/main.do
"충북도립대	",김용수,전문대,공립,옥천,http://www.cpu.ac.kr/home/main.do
"충북보건과학대	",박용석,전문대,사립,청주,https://www.chsu.ac.kr/CmsHome/MainDefault.aspx
충청대,,전문대,사립,청주,https://www.ok.ac.kr/www/index.do
"한국교원대	",김종우,대학,국립,청주,https://knue.ac.kr/smain.html
"한국교통대		",윤승조,대학,국립,충주,https://www.ut.ac.kr/kor.do
"우석대	",남천현,대학,사립,진천,https://jc.woosuk.ac.kr/WoosukJcMain.do
"한국폴리텍 ⅳ대학(청주)		",양기용,기능대학,사립,청주,https://www.kopo.ac.kr/cheongju/index.do
"한국폴리텍 ⅳ대학(충주)	",홍석원,기능대학,사립,충주,https://www.kopo.ac.kr/chungju/index.do
순복음총회신학교,유영희,각종학교,사립,제천,http://kcc.ac.kr/
